Wort
kalt duschen
geistig abwesend
Absencen haben
völlig daneben
unwirklich leuchten
sozial absteigen
Sozialfall werden
tief sinken
nicht glatt
nicht reibungslos
sehr müde
Körper verkaufen
nicht fit
unmäßig ausbreitend
unmäßig ausweitend
böse Mensch
boshaft Mensch
gehässig Person
nicht wiederherstellen
rettungslos zerstören
sehr niedrig
sehr gering
kein einzig
keine Menschenseele
keine Sterbensseele
kein Aa
kein Mensch
kein Schwanz
kein Schwein
keine Sau
absolut nicht
durchaus nicht
gar nicht
kein bissch
partout nicht
überhaupt nicht
absolut nie
voller Klischee
Streit suchend
leicht wägen
nicht abpacken
Krach machen
aufhalten über
Blasphemie treiben
wegen Mangel
weil fehlen
Mensch verachten
übel riechend
wirklich nicht
beileibe nicht
bestimmen nicht
gewiß nicht
sicher nicht
sicherlich nicht
wahrhaftig nicht
wahrlich nicht
nicht sonderlich
nicht umhinkommen
nicht umhinkönnen
mit Zeitverzögerung
nicht sofort
nicht beteiligen
nicht mitmachen
gar kein
gar keiner
überhaupt keiner
nicht herankommen
nicht laufen
tuts nicht
wollen nicht
nicht gut
schön Mist
schön Scheiße
nicht genieren
nicht zieren
nicht haben
nicht halten
nicht mitziehen
Sonderbehandlung verlangen
Hilfe verweigern
nicht weiterhelfen
nichts nutzen
nicht zuhören
nicht können
unfähig sein
vergeben sein
verplanen sein
ausbuchen sein
nicht überwinden
nicht fertigbringen
nicht lang
nicht mehr
nicht abkönnen
unsympathisch sein
unangenehm sein
nicht hinbekommen
nicht hinkriegen
nicht bewältigen
überfordern sein
nicht so
so nicht
nicht unbedingt
nicht umsonst
nicht begreifen
nicht einsehen
nicht erschließen
nicht verstehen
böhmisch Dorf
nicht dahinterkommen
nicht blicken
nicht durchblicken
nicht durchsteigen
nicht kapieren
unklar ausdrücken
unverständlich ausdrücken
keiner mehr
nicht existieren
nicht vorhanden
nicht gerade
nicht eben
nicht wissen
ahnungslos sein
ratlos sein
im notfall
zur Not
nass machen
nicht steuerbar
ohne Steuerungsmöglichkeit
krankhaft misstrauisch
nachlässig arbeiten
Pfuscharbeit abliefern
unordentlich arbeiten
ohne Ehrfurcht
ohne Respekt
unartikuliert sprechen
herablassend kritisieren
polemisch äußern
polemisch werden
unruhig Geist
im Extremfall
unwillig schweigen
schwer arbeiten
viel arbeiten
unentschlossen sein
Festlegung vermeiden
Schwindel erregend
unleserlich machen
Schande bereiten
Schande bringen
schändlich sein
unehrenhaft sein
niedrig bewerten
mit Sorge
voller Sorge
ineinander greifen
zeitweilig ausschließen
nein sagen
verpeilen sein
gefährlich nahe
Böse tun
Sündhaft handeln
nicht aufhalten
keine Stopptaste
nicht ausreifen
übereilt beschließen
Schattendasein Frist
nicht betreten
nicht erforschen
nicht amtlich
nicht offiziell
nicht belastbar
in Unehren
gleichauf liegen
tot Rennen
nicht überschaubar
kaum auswirken
Liegen bleiben
ohne Ausbildung
ohne Konsequenz
kein Gentleman
nicht Gentlemanlike
nicht kulant
nicht erkennbar
nicht wahrnehmbar
übel gelaunt
dumm Junge
klein Kind
nicht koscher
ohne Probe
ohne Vorbereitung
ex tempore
nicht wiederholbar
alles verlieren
arm werden
uneins werden
sozial auffällig
Hungertod sterben
Hunger sterben
falsch lesen
nicht ansprechen
nicht erwähnen
unerwähnt lassen
ungesagt lassen
nichts erwähnen
nichts erzählen
nichts sagen
Mist bauen
Mist machen
Scheiße bauen
undifferenziert betrachten
sträflich vernachlässigen
stiefmütterlich behandeln
nicht regelmäßig
nur unregelmäßig
schleifen lassen
mit verantwortlich
schlecht instandhalten
schlecht unterhalten
voller Widerspruch
ohne Esprit
nicht gesprächig
nicht kooperativ
wenig auskunftsfreudig
nur zögernd
langsam langsam
dick Ei
übel nehmen
voller Selbstmitleid
in Verzug
Prinzip vergeraten
